"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.639492362847223","0.9858424067497253","116.43322514552696","166.0175964895603","0.984577476978302","130.66127004187092","156.46031742602324","0.983025074005127","107.9437295751634","160.7287327589187","0.9282635450363159","143.2446448631536","171.39898519600388","0.7882246375083923","86.69294768688727","167.6197693411228","0.9940833449363708","174.27252476511438","234.1852670855227","0.9802570939064026","76.34451273999183","222.33367649854813","0.9678016901016235","210.62174479166669","309.62538457549783","0.9640371799468994","28.75185698465584","257.45126369780144","0.47645124793052673","201.6986762152778","341.16107231747793","0.8851990103721619","59.71003114787582","170.72318018010233","0.4021654725074768","186.8100075316585","341.25317598866155","0.38905826210975647","92.02504276450163","351.5210176991151","0.05796238034963608","168.62694035947715","345.62194284084626","0.04610081762075424","16.665373160169015","273.1429000449392","0.022607021033763885","166.50417751736111","328.8030411711837","0.015713507309556007","61.55930463005515","253.45774962838775"
"1","0.6335093174129725","0.9850055575370789","116.4236908956291","165.47119680759127","0.9811067581176758","131.08529284109477","157.11914062500003","0.9825137853622437","108.08857836754494","160.3163727616842","0.9232931733131409","142.59998595792484","172.33980702087945","0.7785972356796265","86.41039879493465","168.15544195934737","0.9938079714775085","174.56416909211603","234.81150399267148","0.9791743159294128","76.18163264654821","222.67491703539824","0.9676001071929932","213.06924657883988","308.27568661850114","0.9619480967521667","27.46566473268995","258.8307122424641","0.4343239665031433","202.87975834865196","341.9953850940266","0.8899902105331421","60.821138269761036","169.86000803719583","0.38345909118652344","186.58466413909315","341.04855157632744","0.3698671758174896","92.79676649305556","352.66615605987283","0.057063471525907516","168.22776245915034","345.38296589809187","0.046584602445364","15.566377328112235","273.6951979915653","0.019398299977183342","165.8453488817402","330.20349013066925","0.015924576669931412","61.69414046543097","253.38838020257194"
"2","0.6328305317198529","0.9864361882209778","116.01828182444854","165.87112831858408","0.9829559922218323","131.41467524509804","156.44132631014935","0.9815346002578735","107.25301106770834","160.34069500138276","0.923703134059906","141.95604511335785","171.37532732128042","0.7672869563102722","86.4035133910335","167.45759947110068","0.9937770366668701","174.3395756740196","235.0834561238247","0.9798364043235779","77.18568091299021","222.35325095927823","0.9678832292556763","211.46442887050654","310.5122307971516","0.9599051475524902","26.941640018637663","260.0226154158601","0.4058308005332947","203.16292955984477","335.99312301230646","0.8954493403434753","59.65774037479576","171.98304302924504","0.38935065269470215","187.46511820874184","340.3492507259403","0.38095805048942566","93.72138927185458","352.1783501279038","0.05564941465854645","167.86420036764707","345.6662446418695","0.049750976264476776","14.962414510888992","273.00821219925336","0.021618235856294632","165.51499310661765","329.78678745506085","0.016192879527807236","60.564631044475085","252.99643727530423"
"3","0.6324388545883053","0.9863117337226868","117.26955837673611","166.29731034810567","0.983794629573822","131.25293607026146","156.17049225663717","0.983683168888092","108.31806257659315","160.7277767215155","0.9113625288009644","141.81372549019608","170.9398603861311","0.8039245009422302","86.59683925653596","167.13572274267148","0.9942116141319275","173.68969886131538","236.28000985204648","0.9790512323379517","77.93326982485704","221.37310196868088","0.9671323299407959","213.21975209354576","308.6646155973452","0.9659971594810486","26.908034779667076","258.4690546356471","0.4059682786464691","202.00302223754085","342.77619218404317","0.8938859105110168","61.23211231107027","170.6268472587113","0.38319820165634155","187.90000765931373","340.67640996612283","0.3637031018733978","93.4466433057598","352.7769591745022","0.055660150945186615","167.76017731311276","345.39518373202435","0.03897340968251228","79.33333652471406","263.4688547860205","0.020175714045763016","164.72986557904412","329.4695126693861","0.014426862820982933","61.66401383144404","252.29663410017977"
"4","0.6400323108057765","0.985660195350647","116.96833990757762","166.0798523489353","0.9864738583564758","131.78524241727942","156.68667143425057","0.9847587943077087","108.27738842933007","160.82500086421462","0.9121848940849304","141.296466503268","170.8481294074945","0.8047215342521667","86.24143114276961","167.03802868328265","0.9935239553451538","173.41445823120915","236.09674234305865","0.9813729524612427","78.17891837724673","222.00739227564992","0.967642605304718","208.70351753982845","309.1992511580476","0.9680114388465881","27.826498193678514","257.6416609772539","0.48147621750831604","201.84133093341504","340.7215219683352","0.8838745355606079","59.96261297487745","170.2323116876383","0.4078923463821411","187.25151909722223","339.7675262721239","0.38898470997810364","93.33865496068219","352.37247433282636","0.06033746153116226","167.89777369281046","345.84160458725114","0.03754959627985954","59.34217664930556","266.633776099281","0.0222893338650465","165.7278741574755","328.9016264518806","0.013794854283332825","60.958830390880316","252.99100892733685"
"5","0.6386778840028188","0.9855844378471375","117.31313668045344","165.9548545094718","0.9855392575263977","132.35258214613972","156.5433306398645","0.984456479549408","108.89123455371733","160.99050876313606","0.9076895117759705","141.94342320261438","170.47512898402934","0.8154395818710327","87.257080078125","166.20164179168972","0.9934147596359253","173.68207146139707","235.49991573907636","0.9799480438232422","79.86559500102125","221.23193251348178","0.9685459136962891","211.67948006025327","307.7153514760786","0.9666456580162048","27.74902942133885","259.11574102081033","0.4486607313156128","202.22830180249184","341.899165600802","0.90241539478302","60.258106904871326","174.0158540168695","0.40566885471343994","161.203693065768","341.95996309803655","0.3751703202724457","93.30635020935458","351.8556631982854","0.06186267361044884","158.1351326337827","346.2517932452987","0.03857366368174553","79.41843469158498","262.9999265417589","0.022519579157233238","165.27761820874184","329.6748824668142","0.01538916677236557","75.36572425194036","251.40935036988387"
"6","0.6407279877320808","0.9865096211433411","116.92314197814544","165.7368617775166","0.9863064885139465","132.5976642284518","157.03259493397402","0.9856125712394714","108.54876748876634","161.11889324357026","0.9063398838043213","141.50146484375","170.1554073907633","0.8111772537231445","86.48583505667892","166.57234124377766","0.9942315220832825","173.42417598549838","235.6689075031112","0.9486935138702393","77.42272071589052","218.74286482819414","0.966512143611908","211.52720332924838","307.473619849281","0.9648727774620056","26.79193633833742","258.19554691821077","0.49808570742607117","201.98015599468957","340.90171071280423","0.916470468044281","60.25593277675654","175.0723401635094","0.39040204882621765","161.5844886131536","344.133279175885","0.4059692323207855","92.7099609375","352.70621240666486","0.05637974664568901","167.19434551164215","346.5553270188053","0.03906267508864403","80.06270265267565","262.605455786781","0.020786749199032784","166.5967275582108","329.3497325255808","0.014963388442993164","75.39707158905229","251.62543102703265"
"7","0.6364763129831237","0.9861899614334106","117.20265905841504","165.67881896432525","0.9865323305130005","131.80435080933415","156.41018217643807","0.9861623644828796","108.54776220383988","160.79351644600388","0.9036792516708374","142.04968022365196","169.97879973555035","0.814057469367981","86.04240068423204","166.94553611552823","0.9933348894119263","173.61466950061276","236.3168253940819","0.947953999042511","77.10308797998367","218.96498958621407","0.9664843678474426","211.1496310763889","308.12362805931974","0.9647248983383179","27.19489004097733","258.39273368362836","0.4717782437801361","201.43811593647877","340.6853869952987","0.9046539068222046","59.6548681321487","173.15132073596516","0.38086071610450745","162.6859138837827","344.58472327848455","0.3831985592842102","93.6343682981005","353.37968404314165","0.05781084671616554","158.4881950827206","346.1467587631361","0.03686879575252533","79.84002406301063","262.54115822040933","0.021289601922035217","166.97007123161765","329.81063977806974","0.014517118223011494","83.27456405739379","229.4824380790238"
"8","0.6319275656167198","0.9872534871101379","116.52491351358252","164.65984513274338","0.9866448044776917","131.88828412224265","156.39025122718476","0.984929621219635","108.0862885518791","160.28313830890488","0.9198792576789856","141.99962341707518","170.5960110014519","0.8079641461372375","86.14245046977125","167.29829771328818","0.993648111820221","173.62376493566177","236.37716917865046","0.948083221912384","77.69542419832517","218.4576578055863","0.968805193901062","211.31062027675654","308.10771570796464","0.9672542214393616","27.462122300091913","257.70864841157356","0.39888766407966614","200.62610102634804","342.6763105814436","0.8972654938697815","60.6680517258987","172.90067689608685","0.37787216901779175","161.30268969566995","342.7607659534016","0.37240681052207947","92.72768905739379","353.4509169316925","0.0570029616355896","158.0011106004902","346.49689530904317","0.03888360783457756","80.2075354881536","262.70716844406803","0.021026184782385826","164.9551611008987","330.027806104812","0.014961658045649529","74.29142571742238","252.14745985723178"
"9","0.632739266325884","0.9871242642402649","116.0773064108456","164.98664788440266","0.9864031076431274","131.88731872957518","156.29592760474281","0.984140157699585","107.9171693091299","160.71607741634404","0.918382465839386","142.04390382455065","170.81008235965157","0.801624059677124","86.77022697099673","167.3058811964187","0.9941129088401794","173.64489187602126","235.38917744054206","0.9796297550201416","78.44533483966504","221.63784330925057","0.9684175252914429","210.03370098039215","308.73257527309187","0.9683727025985718","28.75250523386438","256.51091178961565","0.39045271277427673","201.12896688623368","342.46364897331307","0.8966726064682007","60.43179381127452","172.64121806727047","0.3550000488758087","186.80044934640523","341.0685797497235","0.3953206539154053","93.20448133680556","352.79031129009957","0.056878067553043365","168.90511705984477","345.1193264311394","0.03918685391545296","80.35658094618056","262.8433146518944","0.01956867426633835","166.128599877451","329.8322559457965","0.01528096292167902","73.96900052338644","251.55949685425887"
